Encoded State: [2.0, 0.0, 0.04, 0.96, 1.0, 0.041666666666666664], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.95, 1.02, 0.031578947368421054], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.02, 0.94, 0.0392156862745098], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.94, 1.02, 0.0425531914893617], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 1.02, 0.94, 0.0392156862745098], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.97, 0.96, 0.07216494845360824], Shape: (6,)
Encoded State: [2.0, 0.0, 0.09, 0.96, 0.95, 0.09375], Shape: (6,)
Encoded State: [2.0, 0.0, 0.11, 0.95, 0.94, 0.11578947368421053], Shape: (6,)
Encoded State: [2.0, 3.0, 0.12, 0.94, 0.94, 0.1276595744680851], Shape: (6,)
Encoded State: [2.0, 3.0, 0.12, 0.94, 0.94, 0.1276595744680851], Shape: (6,)
Encoded State: [2.0, 4.0, 0.12, 0.94, 0.94, 0.1276595744680851], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.05, 0.92, 0.02857142857142857], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.92, 1.03, 0.05434782608695652], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.03, 0.91, 0.05825242718446602], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.96, 1.01, 0.03125], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 1.01, 0.94, 0.04950495049504951], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.0, 0.97, 0.03], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.97, 0.98, 0.05154639175257732], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.98, 0.95, 0.07142857142857142], Shape: (6,)
Encoded State: [2.0, 0.0, 0.09, 0.95, 0.96, 0.09473684210526316], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.94, 1.03, 0.031914893617021274], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 1.03, 0.92, 0.04854368932038835], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.92, 1.01, 0.07608695652173914], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.91, 1.01, 0.08791208791208792], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 1.01, 0.91, 0.07920792079207921], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.01, 0.96, 0.0297029702970297], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.98, 0.99, 0.030612244897959183], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.99, 0.97, 0.04040404040404041], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.97, 0.98, 0.05154639175257732], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.98, 0.95, 0.07142857142857142], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.95, 0.97, 0.08421052631578947], Shape: (6,)
Encoded State: [2.0, 3.0, 0.1, 0.97, 0.93, 0.10309278350515463], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.96, 1.01, 0.03125], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 1.01, 0.94, 0.04950495049504951], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.94, 0.99, 0.07446808510638298], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.05, 0.92, 0.02857142857142857], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.92, 1.03, 0.05434782608695652], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.03, 0.91, 0.05825242718446602], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.97, 1.0, 0.030927835051546393], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.0, 0.96, 0.04], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.0, 0.97, 0.03], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.98, 0.96, 0.061224489795918366], Shape: (6,)
Encoded State: [2.0, 3.0, 0.1, 0.96, 0.94, 0.10416666666666667], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.03, 0.94, 0.02912621359223301], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.94, 1.02, 0.0425531914893617], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 1.02, 0.94, 0.0392156862745098], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.94, 1.0, 0.06382978723404255], Shape: (6,)
Encoded State: [2.0, 4.0, 0.08, 1.0, 0.92, 0.08], Shape: (6,)
Encoded State: [2.0, 4.0, 0.1, 0.92, 0.98, 0.10869565217391304], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.98, 0.88, 0.14285714285714285], Shape: (6,)
Encoded State: [2.0, 4.0, 0.18, 0.88, 0.94, 0.20454545454545456], Shape: (6,)
Encoded State: [2.0, 4.0, 0.22, 0.94, 0.84, 0.23404255319148937], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.05, 0.92, 0.02857142857142857], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.94, 1.03, 0.031914893617021274], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.03, 0.93, 0.038834951456310676], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.93, 1.02, 0.053763440860215055], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 1.02, 0.91, 0.06862745098039216], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.91, 1.01, 0.08791208791208792], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.08, 0.89, 0.027777777777777776], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.89, 1.06, 0.056179775280898875], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.06, 0.88, 0.05660377358490566], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 0.97, 0.96, 0.07216494845360824], Shape: (6,)
Encoded State: [2.0, 0.0, 0.09, 0.96, 0.95, 0.09375], Shape: (6,)
Encoded State: [2.0, 0.0, 0.11, 0.95, 0.94, 0.11578947368421053], Shape: (6,)
Encoded State: [2.0, 0.0, 0.13, 0.94, 0.93, 0.13829787234042554], Shape: (6,)
Encoded State: [2.0, 3.0, 0.14, 0.93, 0.93, 0.15053763440860216], Shape: (6,)
Encoded State: [2.0, 3.0, 0.16, 0.93, 0.91, 0.17204301075268819], Shape: (6,)
Encoded State: [2.0, 3.0, 0.2, 0.91, 0.89, 0.21978021978021978], Shape: (6,)
Encoded State: [2.0, 3.0, 0.24, 0.89, 0.87, 0.2696629213483146], Shape: (6,)
Encoded State: [2.0, 3.0, 0.28, 0.87, 0.85, 0.3218390804597701], Shape: (6,)
Encoded State: [2.0, 4.0, 0.3, 0.85, 0.85, 0.35294117647058826], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.14, 0.83, 0.02631578947368421], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.85, 1.12, 0.03529411764705882], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.14, 0.83, 0.02631578947368421], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.83, 1.12, 0.060240963855421686], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.12, 0.82, 0.05357142857142857], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.87, 1.1, 0.034482758620689655], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
